t_1,x_1,t_2,x_2
0,0.0142,0,-0.000174347
120,0.0264,120,0.0184246
240,0.0309,240,0.044448885
360,0.0422,360,0.097080289
480,0.0632,480,0.094483938
600,0.0907,600,0.134237468
720,0.1339,720,0.192370803
840,0.1492,840,0.212098262
960,0.1777,960,0.262691365
1080,0.1759,1080,0.284757042
1200,0.2074,1200,0.307557219
1320,0.2089,1320,0.334674462
1440,0.2457,1440,0.356358852
1560,0.2616,1560,0.370456261
1680,0.2589,1680,0.404410503
1800,0.2944,1800,0.427808777
1920,0.2930,1920,0.448093713
2040,0.3198,2040,0.46821228
2160,0.3169,2160,0.482126353
2280,0.3336,2280,0.513026769
2400,0.3538,2400,0.522527591
2520,0.3625,2520,0.524141637
2640,0.3805,2640,0.55435044
2760,0.3897,2760,0.563399598
2880,0.4094,2880,0.587348159
3000,0.4239,3000,0.605255977
3120,0.4244,3120,0.614878894
3240,0.4468,3240,0.634939487
3360,0.4559,3360,0.645066767
3480,0.4699,3480,0.662666243
3600,0.4884,3600,0.688281542
3720,0.4897,3720,0.676123305
3840,0.5053,3840,0.694192221
3960,0.5147,3960,0.697271104
4080,0.5270,4080,0.712055064
4200,0.5358,4200,0.719750657
4320,0.5445,4320,0.730691409
4440,0.5535,4440,0.740883259
4560,0.5623,4560,0.738368516
4680,0.5800,4680,0.747288603
4800,0.5847,4800,0.757537297
,,4920,0.769964853
,,5040,0.780174333
,,5160,0.787101027
,,5280,0.797472619
,,5400,0.803410949
,,5520,0.810567128
,,5640,0.794946034
,,5760,0.802733047
,,5880,0.808902424
,,6000,0.82192237
,,6120,0.828348835
,,6240,0.845915929
,,6360,0.853806378
