x_VBf0.5_2,f_VBf0.5_2,F_VBf0.5_2
-0.0101,0.4874,0.4874
-0.0019,0.4854,-0.6047
0.0019,0.4802,4.3576
0.0101,0.4721,1.9999
0.0225,0.4653,1.4501
0.0377,0.461,1.1612
0.0465,0.4532,1.191
0.0626,0.4474,1.0871
0.0711,0.4442,1.0518
0.0939,0.4446,0.9011
0.1069,0.4427,0.8615
0.1214,0.4401,0.8295
0.1318,0.436,0.8265
0.1424,0.4285,0.8421
0.1536,0.4238,0.838
0.1685,0.4212,0.814
0.1794,0.4151,0.8185
0.1923,0.41,0.8128
0.204,0.4051,0.8085
0.2084,0.3972,0.8301
0.2134,0.3916,0.8409
0.2284,0.3923,0.8086
0.2375,0.3873,0.8088
0.2496,0.3863,0.7914
0.2601,0.3848,0.7795
0.2741,0.3856,0.7572
0.2886,0.3844,0.7413
0.2912,0.3792,0.7508
0.3023,0.3778,0.7404
0.31,0.3687,0.7517
0.3187,0.3662,0.7465
0.3299,0.3655,0.735
0.3329,0.359,0.7448
0.3404,0.353,0.7478
0.347,0.3515,0.7431
0.3557,0.3458,0.744
0.3677,0.3485,0.7263
0.3748,0.348,0.72
0.38,0.3437,0.7219
0.3801,0.3403,0.7273
0.3864,0.3339,0.7313
0.3917,0.3343,0.7253
0.4031,0.333,0.7162
0.4098,0.3259,0.72
0.4143,0.324,0.7185
0.4223,0.3204,0.7159
0.4263,0.3193,0.7136
0.4359,0.3156,0.7098
0.441,0.3155,0.7054
0.4411,0.3076,0.7152
