x_VBf0.5_2,f_VBf0.5_2,F_VBf0.5_2
0,0.4924,0.4924
0.0106,0.4928,0.4494
0.0226,0.4927,0.4791
0.0387,0.4897,0.5589
0.0555,0.487,0.5834
0.0702,0.4846,0.5956
0.087,0.4823,0.5975
0.1022,0.4793,0.6071
0.1055,0.475,0.6397
0.1178,0.4728,0.6384
0.1272,0.4707,0.6411
0.1335,0.4665,0.6599
0.144,0.464,0.6607
0.16,0.4618,0.6526
0.1711,0.4591,0.6534
0.1801,0.4561,0.6572
0.1967,0.454,0.6491
0.2075,0.4511,0.6499
0.2191,0.4479,0.651
0.2314,0.446,0.6464
0.2399,0.444,0.6457
0.2451,0.4404,0.6523
0.2529,0.4377,0.6539
0.2599,0.4361,0.6526
0.2636,0.4328,0.6587
0.2675,0.4304,0.6621
0.2769,0.4291,0.6576
0.2828,0.4263,0.6598
0.2875,0.424,0.6617
0.2959,0.4212,0.6617
0.3082,0.4187,0.6576
0.3153,0.4177,0.6545
0.3209,0.4141,0.658
0.33,0.4138,0.648
0.3332,0.4095,0.6582
0.3474,0.4086,0.6496
0.3475,0.4064,0.6537
0.3496,0.4045,0.6558
0.35,0.4014,0.6588
0.3516,0.3986,0.6652
0.36,0.3989,0.6535
0.363,0.3955,0.6623
0.3739,0.3953,0.6548
0.38,0.3936,0.6499
0.3829,0.3898,0.6576
0.392,0.3896,0.6516
0.3921,0.3868,0.6559
0.401,0.3857,0.6515
0.4011,0.3829,0.6558
0.4123,0.382,0.6497
