x_2,f_VB_2,F_VB_avg_2
0,0.492,0
0.014,0.493,0.44
0.028,0.493,0.47
0.045,0.489,0.556
0.064,0.486,0.582
0.082,0.483,0.594
0.101,0.481,0.597
0.121,0.477,0.604
0.125,0.472,0.638
0.141,0.469,0.634
0.152,0.466,0.637
0.162,0.461,0.654
0.174,0.458,0.656
0.193,0.455,0.648
0.206,0.452,0.648
0.218,0.448,0.651
0.25,0.445,0.646
0.25,0.442,0.645
0.263,0.437,0.647
0.277,0.435,0.643
0.287,0.432,0.642
0.292,0.428,0.65
0.303,0.424,0.65
0.312,0.422,0.648
0.318,0.417,0.654
0.324,0.414,0.656
0.336,0.412,0.651
0.342,0.408,0.654
0.349,0.405,0.655
0.356,0.401,0.657
0.372,0.398,0.652
0.381,0.396,0.649
0.387,0.391,0.653
0.403,0.39,0.643
0.403,0.384,0.653
0.418,0.383,0.645
0.419,0.38,0.648
0.423,0.377,0.65
0.427,0.372,0.652
0.427,0.368,0.659
0.441,0.368,0.648
0.441,0.364,0.656
0.452,0.363,0.649
0.465,0.36,0.644
0.465,0.355,0.651
0.476,0.354,0.645
0.476,0.35,0.649
0.487,0.347,0.645
0.487,0.343,0.649
0.497,0.342,0.644
