x,f_VB
0,0.493
0.002,0.49
0.018,0.487
0.002,0.484
0.039,0.482
0.025,0.479
0.048,0.476
0.037,0.474
0.087,0.47
0.101,0.469
0.118,0.459
0.116,0.458
0.127,0.453
0.143,0.452
0.147,0.445
0.154,0.444
0.181,0.441
0.185,0.436
0.193,0.434
0.199,0.43
0.22,0.428
0.228,0.426
0.227,0.421
0.246,0.422
0.263,0.418
0.255,0.412
0.274,0.408
0.28,0.404
0.283,0.404
0.291,0.397
0.307,0.391
0.319,0.391
0.324,0.389
0.323,0.383
0.327,0.382
0.343,0.377
0.339,0.373
0.358,0.374
0.358,0.369
0.364,0.37
0.372,0.362
0.385,0.359
0.391,0.359
0.4,0.351
0.402,0.349
0.407,0.35
0.408,0.35
0.409,0.344
0.423,0.342
0.431,0.338
0.435,0.336
0.429,0.334
0.439,0.328
0.442,0.326
0,0.256
0.001,0.253
0.002,0.249
0.01,0.245
0.022,0.24
0.038,0.235
0.046,0.231
0.063,0.225
0.071,0.224
0.094,0.22
0.107,0.217
0.121,0.215
0.132,0.212
0.142,0.207
0.154,0.204
0.169,0.2
0.179,0.196
0.192,0.192
0.204,0.189
0.208,0.185
0.213,0.183
0.228,0.182
0.237,0.179
0.25,0.176
0.26,0.175
0.274,0.173
0.289,0.17
0.291,0.169
0.302,0.167
0.3,0.165
0.319,0.161
0.33,0.159
0.333,0.157
0.34,0.153
0.347,0.153
0.356,0.149
0.368,0.149
0.375,0.148
0.383,0.146
0.38,0.147
0.386,0.143
0.392,0.143
0.403,0.14
0.41,0.137
0.414,0.137
0.422,0.134
0.426,0.134
0.436,0.131
0.441,0.132
0.441,0.129
